name,revenue_current,money_in,money_out,employees_total,hires_2023,fires_2023,hires_2024,fires_2024,hires_2025,fires_2025
MicroCore,11170843.86,16150646.72,12345942.19,717,28,9,10,9,108,83
Appla,593084.52,869996.18,721005.08,29,1,0,2,1,3,1
Googlix,79965164.87,44256180.47,49687083.95,104,12,10,5,3,15,4
FaceLook,77158363.58,45336444.0,28668710.98,13089,3160,2676,997,277,2239,1236
Amazeon,1375811.86,1299722.04,464786.91,9428,610,445,735,453,1289,448
TeslaVolt,1554075093.38,1946706113.68,2072279623.89,8360,1250,1172,185,66,95,44
Netflox,12560557.59,8773347.69,15218513.01,96,7,4,3,3,2,2
CocaFiz,302441923.41,187086717.59,92569708.72,4328,765,599,835,216,388,114
PepsiCozy,642569818.76,697591748.33,426658537.87,8,1,0,1,1,2,1
NikeRun,1348204.13,1597041.18,1532724.14,526,101,60,69,37,3,1
Adidex,648903.05,713826.74,419056.13,340,77,31,35,28,19,5
Samsungix,5529325.04,3192319.41,7313458.07,4073,645,579,818,286,909,574
Intelion,404965366.15,561160681.98,263148042.89,12,1,1,2,2,0,0
SonyWave,15940776.72,10270938.8,6884054.78,82,19,9,11,8,7,7
Delltron,1464747951.18,991576542.62,1240602488.61,61,4,1,9,5,1,0
HPower,934540686.36,620084641.65,429313374.44,290,71,28,49,40,17,13
LGmax,10562018.22,11571075.56,10529093.05,425,10,9,34,12,4,3
Lenovate,137910547.84,57680619.37,119058501.99,33,5,2,6,3,8,2
IBMtech,8462749.03,4441427.34,11146819.73,7231,466,339,1477,951,957,377
OracleOne,1082260.38,1501027.33,1396613.58,954,81,39,173,159,212,175
CiscoNet,102708529.2,50589492.94,49073271.01,8622,1307,271,219,160,11,4
Twitterly,47374215.68,55005477.83,48187033.36,32,6,2,3,2,5,4
Snapster,116877548.43,119815787.31,47106589.46,106,7,3,26,13,24,17
UberDrive,364693482.04,347516711.67,340840439.75,297,14,11,21,5,48,16
LyftGo,1220557502.39,1768980150.5,1594476305.39,108,0,0,12,12,26,23
AirBnBoom,5749003.56,4734922.46,7107207.6,69,3,2,16,12,10,3
Spotifyfy,82084835.09,122229181.75,37274101.15,368,81,64,64,49,33,14
RedBullz,411469303.09,531258194.56,515891797.85,9739,1245,749,1944,1400,1709,1430
Starbrek,803198036.57,619903965.62,572793650.11,11,2,0,1,1,1,1
McDonaldo,643922.7,284023.36,775837.1,99,3,2,19,7,15,4
BurgerQuik,767592.4,755687.11,686763.87,989,180,177,128,59,197,82
KFCrazy,19062128.65,9269951.66,6250201.64,14672,3066,2320,1500,508,574,230
Dominoza,47568274.65,56418614.49,48815377.55,51,12,9,7,5,5,2
PizzaHutty,9576458.88,11813813.88,3024560.18,13,0,0,3,2,2,1
Nestléa,29498496.37,27162774.39,14469663.11,183,18,12,29,7,17,12
Heinzly,32456149.23,43560658.0,33253369.45,19,0,0,0,0,4,3
Unilevera,12507812.59,13853866.36,10057259.18,462,109,55,111,103,23,6
Procterly,1153395.92,484477.05,465841.91,1443,26,12,305,67,294,125
JohnsonCo,1332314.65,1554026.31,1321439.14,7239,1330,1121,510,174,1358,1148
PepsicoPlus,1848540404.2,1578430653.66,1311021630.21,3131,267,252,672,365,588,473
Walmartia,1176056.99,1638021.82,1006443.24,4742,379,347,461,96,1073,293
Targetly,7065727.48,10210457.84,9508122.39,581,92,51,43,20,98,79
Costcoria,355046477.05,450404844.62,142134589.25,302,4,3,33,30,26,8
IKEAHome,1636947.01,2025986.61,1604273.33,12,0,0,0,0,2,1
H&Mstyle,1010556.36,1500982.94,719210.81,108,22,21,27,22,10,3
Zarify,314992212.97,319479174.58,241486956.32,9198,256,152,26,15,129,38
LouisV,1325276.8,1476532.41,1485170.61,631,152,76,45,40,35,34
Guccino,553033.13,811225.89,192165.69,8108,1070,1064,150,96,1965,1215
Chanelle,92491464.77,107782482.8,73992725.2,911,133,122,10,4,216,197
Rolexion,21891371.11,23689656.56,13246891.19,24,3,1,4,1,6,6
AdidasPrime,163602668.04,161918542.66,104784298.65,4269,731,241,972,834,1014,792
NikeAiry,81008080.14,69672404.0,107416822.14,6585,74,16,620,526,1625,521
PumaFlex,69034229.77,56537649.51,94363291.67,5399,1132,651,560,234,76,68
UnderArma,423729017.67,635461933.48,591653048.04,501,96,92,106,42,56,17
SonyPlay,1366214968.74,1457467332.68,753477236.33,1314,203,99,37,27,171,140
MicroSofty,37379211.91,49990944.94,33906590.52,524,115,60,18,4,99,69
AppleCore,171833393.79,108987147.61,77326508.95,6,1,1,1,1,1,0
GoogleMax,35513295.84,44818429.74,26144784.01,870,188,180,32,30,107,44
Facebookly,22532249.03,33303471.46,18969447.64,76,12,5,1,0,2,1
SnapChatty,1581371.14,1747355.36,790793.25,88,20,12,15,5,4,1
TikToka,2029944.84,1434053.26,1004237.12,10,0,0,1,0,1,1
Amazonia,692747.06,886266.95,686297.88,10,2,2,0,0,2,2
TeslaMotors,2310073.43,1456002.91,1634421.57,278,43,21,32,26,3,1
Netflixia,185565829.58,256958111.26,160114582.8,413,11,6,55,22,28,14
SpotifyPlus,590564.94,445455.51,314530.64,76,2,2,11,8,15,9
CocaColaX,1028163.3,1018721.88,972154.34,2422,261,79,172,84,391,257
PepsiMaxx,9586316.73,14237279.09,9263759.23,36,1,0,2,1,2,1
